old_offer_id,new_article,product_group,garment,hoodie_fit,hoodie_fabric,size,ozon_sku,design_key
"var1-Print-Black-L","D001-TSH-PRT-BLK-V01-L","Футболка Наруто Akatsuki","tshirt","","","L","3298863962","var1|print|tshirt|black"
"var1-Print-Black-M","D001-TSH-PRT-BLK-V01-M","Футболка Наруто Akatsuki","tshirt","","","M","3298872535","var1|print|tshirt|black"
"var1-Print-Black-S","D001-TSH-PRT-BLK-V01-S","Футболка Наруто Akatsuki","tshirt","","","S","3134089486","var1|print|tshirt|black"
"var1-Print-Black-XL","D001-TSH-PRT-BLK-V01-XL","Футболка Наруто Akatsuki","tshirt","","","XL","3298874890","var1|print|tshirt|black"
"var2-Hoodie-Black-L","D002-HDY-EMB-BLK-REG-FLC-V01-L","Худи с вышивкой Итачи Черная","hoodie","REG","FLC","L","3134088920","var2|embroidery|hoodie|black"
"var2-Hoodie-Black-M","D002-HDY-EMB-BLK-REG-FLC-V01-M","Худи с вышивкой Итачи Черная","hoodie","REG","FLC","M","3134088463","var2|embroidery|hoodie|black"
"var2-Hoodie-Black-S","D002-HDY-EMB-BLK-REG-FLC-V01-S","Худи с вышивкой Итачи Черная","hoodie","REG","FLC","S","3134088397","var2|embroidery|hoodie|black"
"var2-Hoodie-Black-XL","D002-HDY-EMB-BLK-REG-FLC-V01-XL","Худи с вышивкой Итачи Черная","hoodie","REG","FLC","XL","3134088740","var2|embroidery|hoodie|black"
"var2-Hoodie2-Blue-S","D002-HDY-EMB-BLU-REG-NF-V02-S","Худи с вышивкой Итачи Синяя","hoodie","REG","NF","S","3169525853","var2|embroidery|hoodie|blue"
"var2-Emb-Black-XL","D002-SWT-EMB-BLK-V01-XL","Свитшот с вышивкой Итачи Черная","sweatshirt","","","XL","3134088850","var2|embroidery|sweatshirt|black"
"var2-Emb-Black-XXL","D002-SWT-EMB-BLK-V01-2XL","Свитшот с вышивкой Итачи Черная","sweatshirt","","","2XL","3176782754","var2|embroidery|sweatshirt|black"
"var2-Emb-Sweatshirt-Black-S","D002-SWT-EMB-BLK-V01-S","Свитшот с вышивкой Итачи Черная","sweatshirt","","","S","3134088917","var2|embroidery|sweatshirt|black"
"var2-L","D002-SWT-EMB-BLK-V01-L","Свитшот с вышивкой Итачи Черная","sweatshirt","","","L","3134088853","var2|embroidery|sweatshirt|black"
"var2-M","D002-SWT-EMB-BLK-V01-M","Свитшот с вышивкой Итачи Черная","sweatshirt","","","M","3134088707","var2|embroidery|sweatshirt|black"
"var2","D002-TSH-EMB-WBEG-V01-ONE","Вареная бежевая футболка Наруто с вышивкой Itachi","tshirt","","","ONE","3134088845","var2|embroidery|tshirt|washed-beige"
"var2-washed-beige-emb-L","D002-TSH-EMB-WBEG-V01-L","Вареная бежевая футболка Наруто с вышивкой Itachi","tshirt","","","L","3606370027","var2|embroidery|tshirt|washed-beige"
"var2-washed-beige-emb-M","D002-TSH-EMB-WBEG-V01-M","Вареная бежевая футболка Наруто с вышивкой Itachi","tshirt","","","M","3606215601","var2|embroidery|tshirt|washed-beige"
"var2-washed-beige-emb-S","D002-TSH-EMB-WBEG-V01-S","Вареная бежевая футболка Наруто с вышивкой Itachi","tshirt","","","S","3605836196","var2|embroidery|tshirt|washed-beige"
"var2-washed-beige-emb-XL","D002-TSH-EMB-WBEG-V01-XL","Вареная бежевая футболка Наруто с вышивкой Itachi","tshirt","","","XL","3606375815","var2|embroidery|tshirt|washed-beige"
